Date,Athlete_Name,MPH,Spin_Direction,Gyro_Degree,Vertical_Break_Inches,Horizontal_Break_Inches,Total_Spin,Spin_Efficiency,True_Spin,Release_Angle,Release_Height,Horizontal_Angle,Release_Size,Pitch_Count,Pitch_Type,Strike,pitch_horizontal_offset,pitch_vertical_offset
12-4-2022,Martin,79.2,1:02,44,14.3,8.3,2224,73,1613,-1,5,-2,1.8,,4 Seam Fastball,Yes,,
12-4-2022,Martin,78.6,0:38,43,16.1,5.1,2220,73,1622,2,5.2,-2,1.8,,4 Seam Fastball,No,,
11-19-2022,Martin,72.6,11:46,71,7.7,-1.9,2151,32,686,0,5,-2,0.8,,Slider,No,,
11-19-2022,Martin,71.5,11:50,77,5.5,-1.7,2238,22,499,0,5,-2,0.9,,Slider,No,,
11-19-2022,Martin,70.8,9:02,79,0.3,-5.6,2064,18,377,1,5,-1,0.9,,Slider,Yes,,
11-19-2022,Martin,72.1,9:34,79,1.5,-5.6,2217,19,421,0,5,0,0.9,,Slider,Yes,,
11-19-2022,Martin,68.9,11:34,70,7.8,-2.9,1978,34,678,0,5.1,-1,1,,Slider,No,,
11-19-2022,Martin,68.3,11:50,74,6.8,-1.8,1928,27,526,1,5,-2,0.9,,Slider,No,,
11-19-2022,Martin,66.8,10:46,83,2.5,-3.2,1939,13,243,0,5.1,-3,0.8,,Slider,No,,
11-19-2022,Martin,78.3,0:52,36,16.6,7.8,2139,81,1728,0,5.1,-3,0.8,,4 Seam Fastball,Yes,,
11-19-2022,Martin,77.8,1:02,37,15.5,9,2111,80,1680,0,5.1,-1,0.9,,4 Seam Fastball,No,,
11-19-2022,Martin,78.4,0:30,42,16.5,4,2156,75,1615,1,5.1,-2,0.7,,4 Seam Fastball,Yes,,
11-19-2022,Martin,79.3,1:10,42,13.7,9.4,2240,74,1653,0,4.8,-1,0.9,,4 Seam Fastball,Yes,,
11-19-2022,Martin,76.8,0:40,52,13.8,4.4,2252,62,1395,1,5.2,-1,0.6,,4 Seam Fastball,Yes,,
11-19-2022,Martin,78.1,0:38,52,12.9,4,2164,61,1324,1,5.1,0,0.6,,4 Seam Fastball,No,,
11-19-2022,Martin,78.9,0:38,40,16.8,5.5,2262,76,1725,1,5.2,-1,0.6,,4 Seam Fastball,No,,
11-19-2022,Martin,78.5,0:54,37,16,7.9,2127,80,1692,0,5.1,-3,0.7,,4 Seam Fastball,Yes,,
